word,type
'Gainst,prep.
'Neath,prep. & adv.
'Sblood,interj.
'Sdeath,interj.
's,
, a , or an . PCP.  It is presumably an older spelling of scanned. --2. ,
, a , or an . PCP.  It is presumably an older spelling of scanned. --2. Specifically (Pros.), to go through with, as a verse, marking and distinguishing the feet of which it is composed; to show, in reading, the metrical structure of; to recite metrically,
-able,
-ably,
-cae,pl. 
-ferous,
-ful,a.
-fy,
-gen,
-genous,
-gerous,
-gies,pl. 
-gram,
-graphy,
-grave,
-head,suffix.
-hood,
-ible,
-ic,
-less,
-let,
-men,pl. 
-nea,pl. 
-ness,
-neums,pl. 
-prossed,imp. & p. p.
-prossing,p. pr. & vb. n.
-ria,pl. 
-ric,
-ries,pl. 
-s,
-scope,
-staffs,pl. 
-staves,pl. 
-ties,pl. 
-tyla,pl. 
-uret,
-ward,v. i.
-wards,
-wards,v. i.
-yl,
A 1,
A B C,
A cappella,
A fortiori,
A,
A,prep.
A-,
Aam,n.
Aard-vark,n.
Aard-wolf,n.
Aaron's rod,
Aaronic,a.
Aaronical,a.
Ab,n.
Ab-,
Abaca,n.
Abaci,pl. 
Abacinate,v. t.
Abacination,n.
Abaciscus,n.
Abacist,n.
Aback,adv.
Aback,n.
Abactinal,a.
Abaction,n.
Abactor,n.
Abaculi,pl. 
Abaculus,n.
Abacus,n.
Abacuses,pl. 
Abada,n.
Abaddon,n.
Abaft,adv.
Abaft,prep.
Abaisance,n.
Abaiser,n.
Abaist,p. p.
Abalienate,v. t.
Abalienation,n.
Abalone,n.
Aband,v. t.
Abandon,n.
Abandon,v. t.
Abandon,v.
Abandoned,a.
Abandoned,imp. & p. p.
Abandonedly,adv.
Abandonee,n.
Abandoner,n.
Abandoning,p. pr. & vb. n.
Abandonment,n.
Abandum,n.
Abanet,n.
Abanga,n.
Abannation,n.
Abannition,n.
Abarticulation,n.
Abase,a.
Abased,a.
Abased,imp. & p. p.
Abasedly,adv.
Abasement,n.
Abaser,n.
Abash,v. t.
Abashed,imp. & p. p.
Abashedly,adv.
Abashing,p. pr. & vb. n.
Abashment,n.
Abasing,p. pr. & vb. n.
Abassi,n.
Abassis,n.
Abatable,a.
Abate,n.
Abate,v. t.
Abated,imp. & p. p.
Abatement,n.
Abater,n.
Abating,p. pr. & vb. n.
Abatis,n.
Abatised,a.
Abator,n.
Abattis,n.
Abattoir,n.
Abattoirs,pl. 
Abature,n.
Abatvoix,n.
Abawed,p. p.
Abaxial,a.
Abaxile,a.
Abay,n.
Abb wool,
Abb,n.
Abba,n.
Abbacies,pl. 
Abbacy,n.
Abbatial,a.
Abbatical,a.
Abbe,n.
Abbess,n.
Abbey,n.
Abbeys,pl. 
Abbot,n.
Abbotship,n.
Abbreviate,a.
Abbreviate,n.
Abbreviate,v. t.
Abbreviated,a.
Abbreviated,imp. & p. p.
Abbreviating,p. pr. & vb. n.
Abbreviation,n.
Abbreviator,n.
Abbreviatory,a.
Abbreviature,n.
Abdal,n.
Abderian,a.
Abderite,n.
Abdest,n.
Abdicable,a.
Abdicant,a.
Abdicant,n.
Abdicate,v. i.
Abdicate,v. t.
Abdicated,imp. & p. p.
Abdicating,p. pr. & vb. n.
Abdication,n.
Abdicative,a.
Abdicator,n.
Abditive,a.
Abditory,n.
Abdomen,n.
Abdominal,a.
Abdominal,n.
Abdominales,n. pl.
Abdominales,pl. 
Abdominalia,n. pl.
Abdominals,pl. 
Abdominoscopy,n.
Abdominothoracic,a.
Abdominous,a.
Abduce,v. t.
Abduced,imp. & p. p.
Abducing,p. pr. & vb. n.
Abduct,v. t.
Abducted,imp. & p. p.
Abducting,p. pr. & vb. n.
Abduction,n.
Abductor,n.
Abeam,adv.
Abear,v. t.
Abearance,n.
Abearing,n.
Abecedarian,a.
Abecedarian,n.
Abecedary,a.
Abecedary,n.
Abed,adv.
Abegge,
Abele,n.
Abelian,n.
Abelite,n.
Abelmosk,n.
Abelonian,n.
Aber-de-vine,n.
Aberr,v. i.
Aberrance,n.
Aberrancy,n.
Aberrant,a.
Aberrate,v. i.
Aberration,n.
Aberrational,a.
Aberuncate,v. t.
Aberuncator,n.
Abet,n.
Abet,v. t.
Abetment,n.
Abettal,n.
Abetted,imp. & p. p.
Abetter,n.
Abetting,p. pr. & vb. n.
Abettor,n.
Abevacuation,n.
Abeyance,n.
Abeyancy,n.
Abeyant,a.
Abhal,n.
Abhominable,a.
Abhominal,a.
Abhor,v. i.
Abhor,v. t.
Abhorred,imp. & p. p.
Abhorrence,n.
Abhorrency,n.
Abhorrent,a.
Abhorrently,adv.
Abhorrer,n.
Abhorrible,a.
Abhorring,n.
Abhorring,p. pr. & vb. n.
Abib,n.
Abid,
Abidance,n.
Abide,v. i.
Abide,v. t.
Abider,n.
Abiding,a.
Abiding,p. pr. & vb. n.
Abidingly,adv.
Abies,n.
Abietene,n.
Abietic,a.
Abietin,n.
Abietine,n.
Abietinic,a.
Abietite,n.
Abigail,n.
Abiliment,n.
Abilities,pl. 
Ability,n.
Abime,n.
Abiogenesis,n.
Abiogenetic,a.
Abiogenist,n.
Abiogenous,a.
Abiogeny,n.
Abiological,a.
Abirritant,n.
Abirritate,v. t.
Abirritation,n.
Abirritative,a.
Abit,
Abject,a.
Abject,n.
Abjectedness,n.
Abjection,n.
Abjectly,adv.
Abjectness,n.
Abjudge,v. t.
Abjudicate,v. t.
Abjudication,n.
Abjugate,v. t.
Abjunctive,a.
Abjuration,n.
Abjuratory,a.
Abjure,v. i.
Abjure,v. t.
Abjured,imp. & p. p.
Abjurement,n.
Abjurer,n.
Abjuring,p. pr. & vb. n.
Ablactate,v. t.
Ablactation,n.
Ablaqueate,v. t.
Ablaqueation,n.
Ablastemic,a.
Ablation,n.
Ablatitious,a.
Ablative,
Ablative,a.
Ablaut,n.
Ablaze,adv. & a.
Able,a.
Able,superl.
Able-bodied,a.
Able-minded,a.
Ablegate,n.
Ablegate,v. t.
Ablegation,n.
Ablen,
Ableness,n.
Ablepsy,n.
Abler,a.
Ablet,
Abligate,v. t.
Abligurition,n.
Ablins,adv.
Abloom,adv.
Ablude,v. t.
Abluent,a.
Abluent,n.
Ablush,adv. & a.
Ablution,n.
Ablutionary,a.
Abluvion,n.
Ably,adv.
Abnegate,v. t.
Abnegated,imp. & p. p.
Abnegating,p. pr. & vb. n.
Abnegation,n.
Abnegative,a.
Abnegator,n.
Abnet,n.
Abnodate,v. t.
Abnodation,n.
Abnormal,a.
Abnormalities,pl. 
Abnormality,n.
Abnormally,adv.
Abnormities,pl. 
Abnormity,n.
Abnormous,a.
Aboard,adv.
Aboard,prep.
Abodance,n.
Abode,
Abode,imp. & p. p.
Abode,n.
Abode,v. i.
Abode,v. t.
Abodement,n.
Aboding,n.
Abolish,v. t.
Abolishable,a.
Abolished,imp. & p. p.
Abolisher,n.
Abolishing,p. pr. & vb. n.
Abolishment,n.
Abolition,n.
Abolitionism,n.
Abolitionist,n.
Abolitionize,v. t.
Aboma,n.
Abomasum,n.
Abomasus,n.
Abominable,a.
Abominableness,n.
Abominably,adv.
Abominate,v. t.
Abominated,imp. & p. p.
Abominating,p. pr. & vb. n.
Abomination,n.
Aboon,prep.
Aboral,a.
Abord,n.
Abord,v. t.
Aboriginal,a.
Aboriginal,n.
Aboriginality,n.
Aboriginally,adv.
Aborigines,n. pl.
Aborsement,n.
Aborsive,a.
Abort,n.
Abort,v. i.
Aborted,a.
Aborticide,n.
Abortifacient,n.
Abortifacient,v.
Abortion,n.
Abortional,a.
Abortionist,n.
Abortive,n.
Abortive,v.
Abortively,adv.
Abortiveness,n.
Abortment,n.
Abought,
Abought,imp. & p. p.
Abound,v. i.
Abounded,imp. & p. p.
Abounding,p. pr. & vb. n.
About,adv.
About,prep.
About-sledge,n.
Above,adv.
Above,prep.
Above-cited,a.
Above-mentioned,a.
Above-named,a.
Aboveboard,adv.
Abovedeck,a.
Abovesaid,a.
Abox,adv. & a.
Abracadabra,n.
Abradant,n.
Abrade,v. t.
Abraded,imp. & p. p.
Abrading,p. pr. & vb. n.
Abraham-man,n.
Abrahamic,a.
Abrahamitic,a.
Abraid,v. t. & i.
Abram-man,n.
Abranchial,a.
Abranchiata,n. pl.
Abranchiate,a.
Abrase,a.
Abrasion,n.
Abrasive,a.
Abraum salts,n.
Abraum,n.
Abraxas,n.
Abray,v.
Abreast,adv.
Abregge,v. t.
Abrenounce,v. t.
Abrenunciation,n.
Abreption,n.
Abreuvoir,n.
Abricock,n.
Abridge,v. t.
Abridged,imp. & p. p.
Abridger,n.
Abridging,p. pr. & vb. n.
Abridgment,n.
Abroach,adv.
Abroach,v. t.
Abroad,adv.
Abrogable,a.
Abrogate,a.
Abrogate,v. t.
Abrogated,imp. & p. p.
Abrogating,p. pr. & vb. n.
Abrogation,n.
Abrogative,a.
Abrogator,n.
Abrood,adv.
Abrook,v. t.
Abrupt,a.
Abrupt,n.
Abrupt,v. t.
Abruption,n.
Abruptly,adv.
Abruptness,n.
